id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
248,delete city where name=fortaleza,DELETE,city,{},"{""name"": ""Fortaleza""}",1,ORIGINAL
249,add city with name fortaleza and state=ceará,ADD,city,"{""name"": ""Fortaleza"", ""state"": ""Ceará""}",{},2,ORIGINAL
250,"add city with name ""fortaleza"" and state=ceará",ADD,city,"{""name"": ""Fortaleza"", ""state"": ""Ceará""}",{},2,ORIGINAL
251,delete city where state=ceará,DELETE,city,{},"{""state"": ""Ceará""}",1,ORIGINAL
252,"delete city where state=""ceará""",DELETE,city,{},"{""state"": ""Ceará""}",1,ORIGINAL
253,show pokemons,READ,pokemon,{},{},0,ORIGINAL
254,"delete city where name=""fortaleza""",DELETE,city,{},"{""name"": ""Fortaleza""}",1,ORIGINAL
255,show me pokemons,READ,pokemon,{},{},0,ORIGINAL
256,get city,READ,city,{},{},0,ORIGINAL
257,"update a pokemon with name=""pikachu"" by setting evolve to=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
258,delete city where id=8,DELETE,city,{},"{""id"": ""8""}",1,ORIGINAL
259,"update a pokemon with name=""pikachu"" by setting evolvution =""raichu""",UPDATE,pokemon,"{""evolvution"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
260,delete all city where name=fortaleza,DELETE,city,{},"{""name"": ""Fortaleza""}",1,ORIGINAL
261,"update a pokemon with name=""pikachu"" by setting evolution to=""raichu""",UPDATE,pokemon,"{""evolution"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
262,view all pokemons,READ,pokemon,{},{},0,ORIGINAL
263,view the pokemon,READ,pokemon,{},{},0,ORIGINAL
264,"add article with title ""v-measure: a conditional entropy-based external cluster evaluation measure"", author ""v-measure: a conditional entropy-based external cluster evaluation measure"", co-author ""andrew rosenberg"" and year=2007",ADD,article,"{""title"": ""V-measure: A conditional entropy-based external cluster evaluation measure"", ""author"": ""Andrew Rosenberg"", ""year"": ""2007""}",{},3,ORIGINAL
265,"add article with title ""v-measure: a conditional entropy-based external cluster evaluation measure"", author=""julia hirschberg"", co-author=""andrew rosenberg"" and year=2007",ADD,article,"{""title"": ""V-measure: A conditional entropy-based external cluster evaluation measure"", ""author"": ""JULIA HIRSCHBERG"", ""co_author"": ""Andrew Rosenberg"", ""year"": ""2007""}",{},4,ORIGINAL
266,"add an article with title=""v-measure: a conditional entropy-based external cluster evaluation measure"", author=""julia hirschberg"", co-author=""andrew rosenberg"" , year=2007",ADD,article,"{""title"": ""V-measure: A conditional entropy-based external cluster evaluation measure"", ""author"": ""JULIA HIRSCHBERG"", ""co_author"": ""Andrew Rosenberg"", ""year"": ""2007""}",{},4,ORIGINAL
267,"add article with title ""v-measure: a conditional entropy-based external cluster evaluation measure"", author=""julia hirschberg""",ADD,article,"{""title"": ""V-measure: A conditional entropy-based external cluster evaluation measure"", ""author"": ""JULIA HIRSCHBERG""}",{},2,ORIGINAL
268,"update the article where title=""v-measure: a conditional entropy-based external cluster evaluation measure"" setting  co-author=""andrew rosenberg""",UPDATE,article,"{""co_author"": ""Andrew Rosenberg""}","{""title"": ""V-measure: A conditional entropy-based external cluster evaluation measure""}",2,ORIGINAL
269,"update article with id=11 setting co-author=""andrew rosenberg"" and year=2007",UPDATE,article,"{""co_author"": ""Andrew Rosenberg"", ""year"": ""2007""}","{""id"": ""11""}",3,ORIGINAL
270,"update article where id=11 setting co-author=""andrew rosenberg""",UPDATE,article,"{""co_author"": ""Andrew Rosenberg""}","{""id"": ""11""}",2,ORIGINAL
271,"update the article with id=11 setting co-author=""andrew rosenberg"" and year=2007",UPDATE,article,"{""co_author"": ""Andrew Rosenberg"", ""year"": ""2007""}","{""id"": ""11""}",3,ORIGINAL
272,"update the article with id=11 setting co-author=""andrew rosenberg""",UPDATE,article,"{""co-author"": ""ANDREW ROSENBERG""}","{""id"": ""11""}",2,ORIGINAL
273,"update the article with id=11, setting coauthor=""andrew rosenberg""",UPDATE,article,"{""coauthor"": ""ANDREW ROSENBERG""}","{""id"": ""11""}",2,ORIGINAL
274,"update the article with author=""julia hirschberg"", setting the year=2007",UPDATE,article,"{""year"": ""2007""}","{""author"": ""JULIA HIRSCHBERG""}",2,ORIGINAL
275,"update the article with id=11, setting the year=2007",UPDATE,article,"{""year"": ""2007""}","{""id"": ""11""}",2,ORIGINAL
276,"delete all articles where author=""julia hirschberg""",DELETE,article,{},"{""author"": ""JULIA HIRSCHBERG""}",1,ORIGINAL
277,add a pokemon with name='squid',ADD,pokemon,"{""name"": ""Squid""}",{},1,ORIGINAL
278,get all pokemons,READ,pokemon,{},{},0,ORIGINAL
279,get student with name=itamar,READ,student,{},"{""name"": ""Itamar""}",1,ORIGINAL
280,list all students,READ,student,{},{},0,ORIGINAL
281,add an article with title='dome: a domesticated movie experiment',ADD,article,"{""title"": ""DoME: A Domesticated Movie Experiment""}",{},1,ORIGINAL
282,"update the article with id=1, setting the year=3021",UPDATE,article,"{""year"": ""3021""}","{""id"": ""1""}",2,ORIGINAL
283,show the model,READ,model,{},{},0,ORIGINAL
284,"update all articles with year=3021, setting the author='bill gates'",UPDATE,article,"{""author"": ""Bill Gates""}","{""year"": ""3021""}",2,ORIGINAL
285,get articles when year=3021,READ,article,{},"{""year"": ""3021""}",1,ORIGINAL
286,add student with name='bill' and lastname='gates',ADD,student,"{""name"": ""Bill"", ""lastname"": ""Gates""}",{},2,ORIGINAL
287,"add article with title=""dome: day of my enlightenment"" and publisher=""the matrix""",ADD,article,"{""title"": ""DoME: Day of My Enlightenment"", ""publisher"": ""The Matrix""}",{},2,ORIGINAL
288,add an article with title='dome: day of my enlightenment' and publisher='the matrix',ADD,article,"{""title"": ""DoME: Day of My Enlightenment"", ""publisher"": ""The Matrix""}",{},2,ORIGINAL
289,add an article with title='dome: day of my enlightenment',ADD,article,"{""title"": ""DoME: Day of My Enlightenment""}",{},1,ORIGINAL
290,"update article with id=2, setting publisher='the matrix'",UPDATE,article,"{""publisher"": ""The Matrix""}","{""id"": ""2""}",2,ORIGINAL
291,"update article with id=2, setting year=2222",UPDATE,article,"{""year"": ""2222""}","{""id"": ""2""}",2,ORIGINAL
292,"update article with id=2, setting circulation=10000",UPDATE,article,"{""circulation"": ""10000""}","{""id"": ""2""}",2,ORIGINAL
293,add student with name='daniel' and lastname='burns',ADD,student,"{""name"": ""Daniel"", ""lastname"": ""Burns""}",{},2,ORIGINAL
294,"add goblin with title='streaming services' and text='netflix, amazon prime, disney+, star+'",ADD,goblin,"{""title"": ""Streaming services"", ""text"": ""Netflix, Amazon Prime, Disney+, Star+""}",{},2,ORIGINAL
295,list my goblins,READ,goblins,{},{},0,ORIGINAL
296,get goblins,READ,goblins,{},{},0,ORIGINAL
297,get streamings,READ,streaming,{},{},0,ORIGINAL
298,add klingon with name='gowron',ADD,klingon,"{""name"": ""gowron""}",{},1,ORIGINAL
299,kill all klingons,DELETE,klingon,{},{},0,ORIGINAL
300,add equipment with name = 'engine' and sector = 'generators',ADD,equipment,"{""name"": ""Engine"", ""sector"": ""Generators""}",{},2,ORIGINAL
301,"add equipment with name = 'furnace', sector = 'metal shaping' and manager = 'anderson smith'",ADD,equipment,"{""name"": ""Furnace"", ""sector"": ""Metal shaping"", ""manager"": ""Anderson Smith""}",{},3,ORIGINAL
302,list equipment,READ,equipment,{},{},0,ORIGINAL
303,"list equipment, filtering by name starting with 'en'",READ,equipment,{},"{""name"": ""En""}",1,ORIGINAL
304,"for the equipment with name = 'furnace', change manager to 'jane cooper'",UPDATE,equipment,"{""manager"": ""Jane Cooper""}","{""name"": ""Furnace""}",2,ORIGINAL
305,please delete equipment whose sector is 'generators',DELETE,equipment,{},"{""sector"": ""Generators""}",1,ORIGINAL
306,add person with name='chuck',ADD,person,"{""name"": ""chuck""}",{},1,ORIGINAL
307,get all persons,READ,person,{},{},0,ORIGINAL
308,get all person with name chuck,READ,person,{},"{""name"": ""chuck""}",1,ORIGINAL
309,add an article with title='quantum machine learning',ADD,article,"{""title"": ""Quantum Machine Learning""}",{},1,ORIGINAL
310,"update the article with id=1, setting the year=2021.",UPDATE,article,"{""year"": ""2021""}","{""id"": ""1""}",2,ORIGINAL
311,delete all articles with year=2021.,DELETE,article,{},"{""year"": ""2021""}",1,ORIGINAL
312,add show with name=paul di'anno,ADD,show,"{""name"": ""Paul Di'Anno""}",{},1,ORIGINAL
313,show me the results,READ,results,{},{},0,ORIGINAL
314,get all shows_,READ,show,{},{},0,ORIGINAL
315,get the show_,READ,show,{},{},0,ORIGINAL
316,show me all shows_,READ,show,{},{},0,ORIGINAL
317,show me all show_,READ,show,{},{},0,ORIGINAL
318,show me the shows_,READ,show,{},{},0,ORIGINAL
319,show shows_,READ,show,{},{},0,ORIGINAL
320,show students or whatever,READ,student,{},{},0,ORIGINAL
321,add student joão daniel,ADD,student,"{""name"": ""João Daniel""}",{},1,ORIGINAL
322,show me all shows,READ,show,{},{},0,ORIGINAL
323,add class with name=“estrutura de dados”,ADD,class,"{""name"": ""estrutura de dados""}",{},1,ORIGINAL
324,add student with name joão daniel,ADD,student,"{""name"": ""João Daniel""}",{},1,ORIGINAL
325,add class with name=‘estrutura de dados’,ADD,class,"{""name"": ""estrutura de dados""}",{},1,ORIGINAL
326,add class with name=estrutura de dados,ADD,class,"{""name"": ""estrutura de dados""}",{},1,ORIGINAL
327,"add student with name = ""joão daniel""",ADD,student,"{""name"": ""João Daniel""}",{},1,ORIGINAL
328,add student with name = 'joão daniel',ADD,student,"{""name"": ""João Daniel""}",{},1,ORIGINAL
329,add student with name = 'joao daniel',ADD,student,"{""name"": ""Joao Daniel""}",{},1,ORIGINAL
330,add student with name=‘estrutura de dados’,ADD,student,"{""name"": ""estrutura de dados""}",{},1,ORIGINAL
331,"plese, show students",READ,student,{},{},0,ORIGINAL
332,would you please show students,READ,student,{},{},0,ORIGINAL
333,would you please show me students,READ,student,{},{},0,ORIGINAL
334,would you please show me all students you have,READ,student,{},{},0,ORIGINAL
335,delete a show with name=paul dianno,DELETE,show,{},"{""name"": ""Paul DiAnno""}",1,ORIGINAL
336,include student with name=alinson,ADD,student,"{""name"": ""Alinson""}",{},1,ORIGINAL
337,show me shows,READ,show,{},{},0,ORIGINAL
338,add a show with name = paul di'anno and date = 01/27/2023,ADD,show,"{""name"": ""Paul Di'Anno"", ""date"": ""01/27/2023""}",{},2,ORIGINAL
339,"update the article with id=4, setting the email=alinson.donato@gmail.com",UPDATE,article,"{""email"": ""alinson.donato@gmail.com""}","{""id"": ""4""}",2,ORIGINAL
340,get student with id=4,READ,student,{},"{""id"": ""4""}",1,ORIGINAL
341,"add show with name = renegados, and date = 01/28/2023 and place = centro cultural bnb",ADD,show,"{""name"": ""Renegados"", ""date"": ""01/28/2023"", ""place"": ""Centro Cultural BNB""}",{},3,ORIGINAL
342,get student with email=alinson.donato@gmail.com,READ,student,{},"{""email"": ""alinson.donato@gmail.com""}",1,ORIGINAL
343,"update the student with id=4, setting the email=alinson.donato@gmail.com",UPDATE,student,"{""email"": ""alinson.donato@gmail.com""}","{""id"": ""4""}",2,ORIGINAL
344,"add show with name = metallica, and date = 02/30/2023 and place = castelao",ADD,show,"{""name"": ""Metallica"", ""date"": ""02/30/2023"", ""place"": ""Castelao""}",{},3,ORIGINAL
345,add student with name=donato,ADD,student,"{""name"": ""Donato""}",{},1,ORIGINAL
346,"add student with name=donato, email=alinson.donato@prf.gov.br",ADD,student,"{""name"": ""Donato"", ""email"": ""alinson.donato@prf.gov.br""}",{},2,ORIGINAL
347,delete the student with email=alinson.donato@prf.gov.br,DELETE,student,{},"{""email"": ""alinson.donato@prf.gov.br""}",1,ORIGINAL
348,update the student with name=alinson with name=alinson donato,UPDATE,student,"{""name"": ""Alinson Donato""}","{""name"": ""Alinson""}",2,ORIGINAL
349,"create student with name="" or 1=1); drop table students; --""",ADD,student,"{""name"": ""or 1=1)"", ""table"": ""STUDENTS""}",{},2,ORIGINAL
350,"update a show with name metallica, replace date with 10/22/2024",UPDATE,show,"{""date"": ""10/22/2024""}","{""name"": ""metallica""}",2,ORIGINAL
351,get all shows,READ,show,{},{},0,ORIGINAL
352,"create student with name="" or 1=1}; drop table students; --""",ADD,student,"{""name"": ""1=1"", ""table"": ""STUDENTS""}",{},2,ORIGINAL
353,"create student with name=""' or 1=1; drop table students; --""",ADD,student,"{""name"": ""1=1"", ""table"": ""STUDENTS""}",{},2,ORIGINAL
354,"create student with name=""' or 1=1; drop table student; --""",ADD,student,"{""name"": ""1=1"", ""table"": ""STUDENT""}",{},2,ORIGINAL
355,"add an article with title='experimental framework, simulation, benchmark'",ADD,article,"{""title"": ""Experimental framework, Simulation, Benchmark""}",{},1,ORIGINAL
356,create student with name=' or 1=1; drop table students; --',ADD,student,"{""name"": ""1=1"", ""table"": ""STUDENTS""}",{},2,ORIGINAL
357,"update the article with id=1, setting the
year=2020",UPDATE,article,"{""year"": ""2020""}","{""id"": ""1""}",2,ORIGINAL
358,"update the article with id=2, setting the
author='zé das couves'",UPDATE,article,"{""author"": ""Zé das Couves""}","{""id"": ""2""}",2,ORIGINAL
359,"update the article with id=3, setting the
year=2020",UPDATE,article,"{""year"": ""2020""}","{""id"": ""3""}",2,ORIGINAL
360,"create student with name=""robert'); drop table students; --""",ADD,student,"{""name"": ""Robert"", ""table"": ""STUDENTS""}",{},2,ORIGINAL
361,"create student with name=""robert' and 1=1); drop table students; --""",ADD,student,"{""name"": ""Robert"", ""table"": ""STUDENTS""}",{},2,ORIGINAL
362,"create student with email=""alinson.donato@gmail.com' and 1=1); drop table students; --""",ADD,student,"{""email"": ""alinson.donato@gmail.com"", ""table"": ""STUDENTS""}",{},2,ORIGINAL
363,"create student with email=""alinson.donato@gmail.com' and 1=1); drop database managedsys_web; --""",ADD,student,"{""email"": ""alinson.donato@gmail.com"", ""database"": ""MANAGEDSYS_WEB""}",{},2,ORIGINAL
364,create student with email=amg@gmail.com,ADD,student,"{""email"": ""amg@gmail.com""}",{},1,ORIGINAL
365,show tables,READ,tables,{},{},0,ORIGINAL
366,add asdfud with name='john doe',ADD,,{},{},0,ORIGINAL
367,add sku with name='john doe',ADD,sku,"{""name"": ""John Doe""}",{},1,ORIGINAL
368,show skus,READ,sku,{},{},0,ORIGINAL
369,add elf with name='galadriel' and type='forest',ADD,elf,"{""name"": ""Galadriel"", ""type"": ""Forest""}",{},2,ORIGINAL
370,"add elf with name='galadriel', type='forest', age='1247', ringtype='water' and power='perception'",ADD,elf,"{""name"": ""Galadriel"", ""type"": ""Forest"", ""age"": ""1247"", ""ringtype"": ""Water"", ""power"": ""Perception""}",{},5,ORIGINAL
371,"add elf with name='galadriel', type='forest', age='1247', ringtype='water', power='perception'",ADD,elf,"{""name"": ""Galadriel"", ""type"": ""Forest"", ""age"": ""1247"", ""ringtype"": ""Water"", ""power"": ""Perception""}",{},5,ORIGINAL
372,"add elf with name='galadriel', type='forest', age='1247', power='perception'",ADD,elf,"{""name"": ""Galadriel"", ""type"": ""Forest"", ""age"": ""1247"", ""power"": ""Perception""}",{},4,ORIGINAL
373,"add elf with name='galadriel', type='forest', age='1247', ring type='water' and power='perception'",ADD,elf,"{""name"": ""Galadriel"", ""type"": ""Forest"", ""age"": ""1247"", ""ring"": ""type='Water' and power='Perception""}",{},4,ORIGINAL
374,"add elf with name=galadriel, type=forest, age=1247, ringtype=water and power=perception",ADD,elf,"{""name"": ""Galadriel"", ""type"": ""Forest"", ""age"": ""1247"", ""ringtype"": ""Water"", ""power"": ""Perception""}",{},5,ORIGINAL
375,get student with name=eliakim',READ,student,{},"{""name"": ""Eliakim""}",1,ORIGINAL
376,include student with name=anderson,ADD,student,"{""name"": ""Anderson""}",{},1,ORIGINAL
377,include student with name=eliakim,ADD,student,"{""name"": ""Eliakim""}",{},1,ORIGINAL
378,list students,READ,student,{},{},0,ORIGINAL
379,add an article with title = 'análise sobre a ausência de aula prática no ensino da disciplina de ciências biológicas',ADD,article,"{""title"": ""análise sobre a ausência de aula prática no ensino da disciplina de ciências biológicas""}",{},1,ORIGINAL
380,add an article with title = 'crop: linking code reviews to source code changes',ADD,article,"{""title"": ""CROP: Linking Code Reviews to Source Code Changes""}",{},1,ORIGINAL
381,"update the article with id=4, setting the year=2018",UPDATE,article,"{""year"": ""2018""}","{""id"": ""4""}",2,ORIGINAL
382,delete all articles with year=2018.,DELETE,article,{},"{""year"": ""2018""}",1,ORIGINAL
383,add an article with title = 'dealing with iot defiant components',ADD,article,"{""title"": ""Dealing with IoT Defiant Components""}",{},1,ORIGINAL
384,"update the article with id=1, setting the year=2020",UPDATE,article,"{""year"": ""2020""}","{""id"": ""1""}",2,ORIGINAL
385,"update the article with id=5, setting the author='adrilene fonseca'",UPDATE,article,"{""author"": ""Adrilene Fonseca""}","{""id"": ""5""}",2,ORIGINAL
386,delete all articles with author=zé das couves,DELETE,article,{},"{""author"": ""Zé das Couves""}",1,ORIGINAL
387,add an article with title='behind the intents: an in-depth empirical study on software refactoring in modern code review',ADD,article,"{""title"": ""Behind the intents: An in-depth empirical study on software refactoring in modern""}",{},1,ORIGINAL
388,"update the article with id=6, setting the
year=2020",UPDATE,article,"{""year"": ""2020""}","{""id"": ""6""}",2,ORIGINAL
389,"include student with name=matheus freitas, email=fernandes.matheus@aluno.uece.br",ADD,student,"{""name"": ""Matheus Freitas"", ""email"": ""fernandes.matheus@aluno.uece.b""}",{},2,ORIGINAL
390,show me all student,READ,student,{},{},0,ORIGINAL
391,"add an article with title=building microservices: using an api gateway, author=chris richardson",ADD,article,"{""title"": ""Building Microservices: Using an API Gateway"", ""author"": ""Chris Richardson""}",{},2,ORIGINAL
392,"add an article with title=introduction to microservices, author=chris richardson",ADD,article,"{""title"": ""Introduction to MIcroservices"", ""author"": ""Chris Richardson""}",{},2,ORIGINAL
393,"update the article with id=7, setting the year=2018",UPDATE,article,"{""year"": ""2018""}","{""id"": ""7""}",2,ORIGINAL
394,"add a subject with name=""data structures"" and professor=""ana luiza""",ADD,subject,"{""name"": ""Data Structures"", ""professor"": ""Ana Luiza""}",{},2,ORIGINAL
395,"add a subject with name=""data structures"" and professor=""josé negreiros""",ADD,subject,"{""name"": ""Data Structures"", ""professor"": ""José Negreiros""}",{},2,ORIGINAL
396,get subject,READ,subject,{},{},0,ORIGINAL
397,"add a subject with name ""linear algebra"" and professor=""thelmo pontes""",ADD,subject,"{""name"": ""Linear Algebra"", ""professor"": ""Telmo Pontes""}",{},2,ORIGINAL
398,"update the subject with name=""linear algebra"", setting professor=""thelmo pontes""",UPDATE,subject,"{""professor"": ""Thelmo Pontes""}","{""name"": ""Linear Algebra""}",2,ORIGINAL
399,"update the subject with id=3, setting professor=""thelmo pontes""",UPDATE,subject,"{""professor"": ""Thelmo Pontes""}","{""id"": ""3""}",2,ORIGINAL
400,"update the subject where name=""data structures"", setting semester=""2023.1""",UPDATE,subject,"{""name"": ""Data Structures""}","{""semester"": ""2023.1""}",2,ORIGINAL
401,get subjects,READ,subject,{},{},0,ORIGINAL
402,"update the subject with name=""data structures"", setting semester=""2023.1""",UPDATE,subject,"{""semester"": ""2023.1""}","{""name"": ""Data Structures""}",2,ORIGINAL
403,"update the subject where name=""data structures"", settingthe semester=""2023.1""",UPDATE,subject,{},{},0,ORIGINAL
404,"update the subject where name=""data structures"", setting the semester=""2023.1""",UPDATE,subject,"{""semester"": ""2023.1""}","{""name"": ""Data Structures""}",2,ORIGINAL
405,"update the subject where semester=""2023.1"", setting name=""data structures""",UPDATE,subject,"{""name"": ""Data Structures""}","{""semester"": ""2023.1""}",2,ORIGINAL
406,add a subject with name='brazilian history',ADD,subject,"{""name"": ""Brazilian History""}",{},1,ORIGINAL
407,get all subjects,READ,subject,{},{},0,ORIGINAL
408,"update subject with id=4, setting the main reference to 'brasil, uma história'",UPDATE,subject,"{""main_reference"": ""to 'Brasil, uma História""}","{""id"": ""4""}",2,ORIGINAL
409,get pizzas,READ,pizza,{},{},0,ORIGINAL
410,add a pizza with flavour='pepperoni',ADD,pizza,"{""flavour"": ""pepperoni""}",{},1,ORIGINAL
411,show pizzas,READ,pizza,{},{},0,ORIGINAL
412,add a ice cream with flavour=vanilla,ADD,ice_cream,"{""flavour"": ""vanilla""}",{},1,ORIGINAL
413,show ice creams,READ,ice_cream,{},{},0,ORIGINAL
414,show me all ice cream,READ,ice_cream,{},{},0,ORIGINAL
415,add student with name=sergio,ADD,student,"{""name"": ""Sergio""}",{},1,ORIGINAL
416,show me student where name=sergii,READ,student,{},"{""name"": ""sergii""}",1,ORIGINAL
417,show me student where name=sergio,READ,student,{},"{""name"": ""Sergio""}",1,ORIGINAL
418,show me student where name=sergio; drop students,READ,student,{},"{""name"": ""Sergio""}",1,ORIGINAL
419,show me student where name='sergio; drop students',READ,student,{},"{""name"": ""Sergio""}",1,ORIGINAL
420,add students where name=injection;drop students,ADD,student,"{""name"": ""Injection""}",{},1,ORIGINAL
421,add students where name='injection;drop students',ADD,student,"{""name"": ""Injection;DROP students""}",{},1,ORIGINAL
422,delete student name=injection,DELETE,student,{},"{""name"": ""Injection""}",1,ORIGINAL
423,delete student name='injection;drop students;',DELETE,student,{},"{""name"": ""Injection""}",1,ORIGINAL
424,delete student name='injection;drop students',DELETE,student,{},"{""name"": ""Injection;DROP students""}",1,ORIGINAL
425,delete student name='--injection;drop students',DELETE,student,{},"{""name"": ""--Injection;DROP students""}",1,ORIGINAL
426,"update the article with id=9, setting the author=darcio",UPDATE,article,"{""author"": ""Darcio""}","{""id"": ""9""}",2,ORIGINAL
427,"update the article with id=9, setting the year=darcio",UPDATE,article,"{""year"": ""Darcio""}","{""id"": ""9""}",2,ORIGINAL
428,"update the article with id=9, setting the year=2023",UPDATE,article,"{""year"": ""2023""}","{""id"": ""9""}",2,ORIGINAL
429,"update the article with id=9, setting the co-author=souza",UPDATE,article,"{""co_author"": ""Souza""}","{""id"": ""9""}",2,ORIGINAL
430,add an article with title = 'apis modernas e assincronas com python',ADD,article,"{""title"": ""APIs Modernas e Assincronas com Python""}",{},1,ORIGINAL
431,show me all aricles,READ,,{},{},0,ORIGINAL
432,get all entities,READ,entities,{},{},0,ORIGINAL
433,"update the article with id=10, setting the year=2023",UPDATE,article,"{""year"": ""2023""}","{""id"": ""10""}",2,ORIGINAL
434,delete all articles with id=8,DELETE,article,{},"{""id"": ""8""}",1,ORIGINAL
435,"update the article with id=10, setting the author='odivon'",UPDATE,article,"{""author"": ""Odivon""}","{""id"": ""10""}",2,ORIGINAL
436,can you save a article named “architecture guide”?,ADD,article,"{""name"": ""architecture guide""}",{},1,ORIGINAL
437,add article great,ADD,article,{},{},0,ORIGINAL
438,add article with description = ‘the architecture guide”,ADD,article,"{""description"": ""The Architecture Guide”""}",{},1,ORIGINAL
439,update article id=11 set author=‘leo siebra’,UPDATE,article,"{""author"":""Leo Siebra""}","{""id"": ""11""}",2,ORIGINAL
440,update article id=11  author=‘leo siebra’,UPDATE,article,"{""author"": ""Leo Siebra""}","{""id"": ""11""}",2,ORIGINAL
441,get my articles,READ,article,{},{},0,ORIGINAL
442,add a product type=book,ADD,product,"{""type"": ""book""}",{},1,ORIGINAL
443,get products,READ,product,{},{},0,ORIGINAL
444,show article id=2,READ,article,{},"{""id"": ""2""}",1,ORIGINAL
445,show article where id=5,READ,article,{},"{""id"": ""5""}",1,ORIGINAL
446,show article where id=1,READ,article,{},"{""id"": ""1""}",1,ORIGINAL
447,"update article with id=11, setting the author=leo siebra",UPDATE,article,"{""author"": ""Leo Siebra""}","{""id"": ""11""}",2,ORIGINAL
448,show me the article with id=11,READ,article,{},"{""id"": ""11""}",1,ORIGINAL
449,"please add a article with title='attention is all you need', year=2022, author=""alex nogueira"", keywords=['attention']",ADD,article,"{""title"": ""Attention is all you need"", ""year"": ""2022"", ""author"": ""Alex Nogueira"", ""keywords"": ""Attention""}",{},4,ORIGINAL
450,"add article with title='attention is all you need', year=2022, author=""alex nogueira"", keywords=['attention']",ADD,article,"{""title"": ""Attention is all you need"", ""year"": ""2022"", ""author"": ""Alex Nogueira"", ""keywords"": ""Attention""}",{},4,ORIGINAL
451,"update article with id=12, setting revision=1",UPDATE,article,"{""revision"": ""1""}","{""id"": ""12""}",2,ORIGINAL
452,add a movie with title='batman begins',ADD,film,"{""title"": ""Batman Begins""}",{},1,ORIGINAL
453,"add a movie with title='the dark knight', ""running time""=152",ADD,film,"{""title"": ""The Dark Knight"", ""running_time"": ""152""}",{},2,ORIGINAL
454,get all students with name='anderson',READ,student,{},"{""name"": ""Anderson""}",1,ORIGINAL
455,add a former teacher with name='onelia',ADD,former_teacher,"{""name"": ""Onelia""}",{},1,ORIGINAL
456,add an invoice with value=100,ADD,invoice,"{""value"": ""100""}",{},1,ORIGINAL
457,get all invoice,READ,invoice,{},{},0,ORIGINAL
458,add car with license=2020,ADD,car,"{""license"": ""2020""}",{},1,ORIGINAL
459,add car with color=black,ADD,car,"{""color"": ""black""}",{},1,ORIGINAL
460,get all cars,READ,car,{},{},0,ORIGINAL
461,"add course with name=Physics I, code=PHY101",ADD,course,"{""name"": ""Physics I"", ""code"": ""PHY101""}",{},2,SYNTHETIC
462,delete course with code=PHY101,DELETE,course,{},"{""code"": ""PHY101""}",1,SYNTHETIC
463,"update course with code=PHY101, set name=Applied Physics",UPDATE,course,"{""name"": ""Applied Physics""}","{""code"": ""PHY101""}",2,SYNTHETIC
464,"add book with title=The Great Novel, author=Jane Doe",ADD,book,"{""title"": ""The Great Novel"", ""author"": ""Jane Doe""}",{},2,SYNTHETIC
465,get books by Jane Doe,READ,book,{},"{""author"": ""Jane Doe""}",1,SYNTHETIC
466,delete book with title=The Great Novel,DELETE,book,{},"{""title"": ""The Great Novel""}",1,SYNTHETIC
467,"update book with title=The Great Novel, set publication_year=2023",UPDATE,book,"{""publication_year"": ""2023""}","{""title"": ""The Great Novel""}",2,SYNTHETIC
468,"add employee with name=John Smith, department=Sales",ADD,employee,"{""name"": ""John Smith"", ""department"": ""Sales""}",{},2,SYNTHETIC
469,show employees in Sales department,READ,employee,{},"{""department"": ""Sales""}",1,SYNTHETIC
470,delete employee named John Smith,DELETE,employee,{},"{""name"": ""John Smith""}",1,SYNTHETIC
471,"update employee John Smith, change department to Marketing",UPDATE,employee,"{""department"": ""Marketing""}","{""name"": ""John Smith""}",2,SYNTHETIC
472,"add product with name=Laptop, price=1200",ADD,product,"{""name"": ""Laptop"", ""price"": ""1200""}",{},2,SYNTHETIC
473,get products under 500,READ,product,{},"{""price"": ""<500""}",1,SYNTHETIC
474,delete product Laptop,DELETE,product,{},"{""name"": ""Laptop""}",1,SYNTHETIC
475,"update product Laptop, set price=1100",UPDATE,product,"{""price"": ""1100""}","{""name"": ""Laptop""}",2,SYNTHETIC
476,add customer with email=test@example.com,ADD,customer,"{""email"": ""test@example.com""}",{},1,SYNTHETIC
477,show customers from USA,READ,customer,{},"{""country"": ""USA""}",1,SYNTHETIC
478,delete customer with email=test@example.com,DELETE,customer,{},"{""email"": ""test@example.com""}",1,SYNTHETIC
479,"update customer test@example.com, set phone=123-456-7890",UPDATE,customer,"{""phone"": ""123-456-7890""}","{""email"": ""test@example.com""}",2,SYNTHETIC
480,"add order with item=Pen, quantity=10",ADD,order,"{""item"": ""Pen"", ""quantity"": ""10""}",{},2,SYNTHETIC
481,get orders from last week,READ,order,{},"{""date"": ""last week""}",1,SYNTHETIC
482,delete order for Pen,DELETE,order,{},"{""item"": ""Pen""}",1,SYNTHETIC
483,"update order for Pen, change quantity to 15",UPDATE,order,"{""quantity"": ""15""}","{""item"": ""Pen""}",2,SYNTHETIC
